STATE,DISTRICT,QUARTER,LEVEL
AP,Chittoor,2010-10-01,4.687428571
AP,Chittoor,2011-01-01,4.886857143
AP,Chittoor,2011-04-01,7.451714286
AP,Chittoor,2011-07-01,6.154
AP,Chittoor,2011-10-01,5.253142857
AP,Chittoor,2012-01-01,5.249189189
AP,Chittoor,2012-04-01,7.624054054
AP,Chittoor,2012-07-01,3.95
AP,Chittoor,2012-10-01,5.728108108
AP,Chittoor,2013-01-01,5.945098039
AP,Chittoor,2013-04-01,7.710980392
AP,Chittoor,2013-07-01,3.976078431
AP,Chittoor,2013-10-01,5.293921569
AP,Chittoor,2014-01-01,6.842
AP,Chittoor,2014-04-01,8.967272727
AP,Chittoor,2014-07-01,8.963090909
AP,Chittoor,2014-10-01,7.160181818
AP,Chittoor,2015-01-01,7.734528302
AP,Chittoor,2015-04-01,9.371132075
AP,Chittoor,2015-07-01,9.156037736
AP,Chittoor,2015-10-01,7.434339623
AP,Chittoor,2016-01-01,4.438
AP,Chittoor,2016-04-01,5.910615385
AP,Chittoor,2016-07-01,4.748307692
AP,Chittoor,2016-10-01,5.362461538
AP,Chittoor,2017-01-01,5.830612245
AP,Chittoor,2017-04-01,7.898163265
AP,Chittoor,2017-07-01,6.742244898
AP,Chittoor,2017-10-01,4.426734694
AP,Chittoor,2018-01-01,4.463404255
AP,Chittoor,2018-04-01,7.17
AP,Chittoor,2018-07-01,3.95
AP,Chittoor,2018-10-01,6.867659574
AP,East Godavari,1996-01-01,3.505769231
AP,East Godavari,1996-04-01,5.378076923
AP,East Godavari,1996-07-01,2.770192308
AP,East Godavari,1996-10-01,2.872884615
AP,East Godavari,1997-01-01,3.183076923
AP,East Godavari,1997-04-01,4.896346154
AP,East Godavari,1997-07-01,3.320961538
AP,East Godavari,1997-10-01,3.343461538
AP,East Godavari,1998-01-01,3.5558
AP,East Godavari,1998-04-01,5.6408
AP,East Godavari,1998-07-01,3.23
AP,East Godavari,1998-10-01,3.8998
AP,East Godavari,1999-01-01,4.124285714
AP,East Godavari,1999-04-01,6.128163265
AP,East Godavari,1999-07-01,5.231836735
AP,East Godavari,1999-10-01,4.642653061
AP,East Godavari,2000-01-01,5.410408163
AP,East Godavari,2000-04-01,5.113877551
AP,East Godavari,2000-07-01,2.165510204
AP,East Godavari,2000-10-01,3.83122449
AP,East Godavari,2001-01-01,3.809565217
AP,East Godavari,2001-04-01,5.367826087
AP,East Godavari,2001-07-01,3.856521739
AP,East Godavari,2001-10-01,3.216521739
AP,East Godavari,2002-01-01,3.092790698
AP,East Godavari,2002-04-01,5.206046512
AP,East Godavari,2002-07-01,4.343255814
AP,East Godavari,2002-10-01,3.850930233
AP,East Godavari,2003-01-01,4.80425
AP,East Godavari,2003-04-01,6.20225
AP,East Godavari,2003-07-01,4.03
AP,East Godavari,2003-10-01,3.44375
AP,East Godavari,2004-01-01,3.976904762
AP,East Godavari,2004-04-01,5.738333333
AP,East Godavari,2004-07-01,3.727619048
AP,East Godavari,2004-10-01,3.36452381
AP,East Godavari,2005-01-01,6.321818182
AP,East Godavari,2005-04-01,7.069413636
AP,East Godavari,2005-07-01,5.367595455
AP,East Godavari,2005-10-01,3.825
AP,East Godavari,2006-01-01,5.499253731
AP,East Godavari,2006-04-01,6.353302985
AP,East Godavari,2006-07-01,4.000597015
AP,East Godavari,2006-10-01,4.173283582
AP,East Godavari,2007-01-01,5.582539683
AP,East Godavari,2007-04-01,6.49541746
AP,East Godavari,2007-07-01,3.673333333
AP,East Godavari,2007-10-01,3.651746032
AP,East Godavari,2008-01-01,4.984761905
AP,East Godavari,2008-04-01,6.326190476
AP,East Godavari,2008-07-01,4.137639683
AP,East Godavari,2008-10-01,4.76031746
AP,East Godavari,2009-01-01,5.726349206
AP,East Godavari,2009-04-01,6.034126984
AP,East Godavari,2009-07-01,4.06968254
AP,East Godavari,2009-10-01,3.548095238
AP,East Godavari,2010-01-01,4.515135135
AP,East Godavari,2010-04-01,4.965405405
AP,East Godavari,2010-07-01,2.703513514
AP,East Godavari,2010-10-01,2.221621622
AP,East Godavari,2011-01-01,3.090263158
AP,East Godavari,2011-04-01,4.536842105
AP,East Godavari,2011-07-01,3.162894737
AP,East Godavari,2011-10-01,3.737368421
AP,East Godavari,2012-01-01,4.873
AP,East Godavari,2012-04-01,6.2912
AP,East Godavari,2012-07-01,3.95
AP,East Godavari,2012-10-01,2.969
AP,East Godavari,2013-01-01,4.107882353
AP,East Godavari,2013-04-01,5.255176471
AP,East Godavari,2013-07-01,3.95
AP,East Godavari,2013-10-01,2.476235294
AP,East Godavari,2014-01-01,3.183125
AP,East Godavari,2014-04-01,4.334553571
AP,East Godavari,2014-07-01,3.168303571
AP,East Godavari,2014-10-01,3.076785714
AP,East Godavari,2015-01-01,3.780733945
AP,East Godavari,2015-04-01,4.451100917
AP,East Godavari,2015-07-01,2.787981651
AP,East Godavari,2015-10-01,3.32266055
AP,East Godavari,2016-01-01,4.41
AP,East Godavari,2016-04-01,5.861673103
AP,East Godavari,2016-07-01,3.051793103
AP,East Godavari,2016-10-01,3.350965517
AP,East Godavari,2017-01-01,3.739134615
AP,East Godavari,2017-04-01,5.825313462
AP,East Godavari,2017-07-01,3.237019231
AP,East Godavari,2017-10-01,2.478076923
AP,East Godavari,2018-01-01,3.72814433
AP,East Godavari,2018-04-01,7.130927835
AP,East Godavari,2018-07-01,4.080824742
AP,East Godavari,2018-10-01,3.018041237
AP,Guntur,1996-01-01,3.661666667
AP,Guntur,1996-04-01,4.964285714
AP,Guntur,1996-07-01,3.340238095
AP,Guntur,1996-10-01,2.972857143
AP,Guntur,1997-01-01,3.553255814
AP,Guntur,1997-04-01,4.705116279
AP,Guntur,1997-07-01,4.648372093
AP,Guntur,1997-10-01,2.810697674
AP,Guntur,1998-01-01,3.662926829
AP,Guntur,1998-04-01,5.01195122
AP,Guntur,1998-07-01,3.546097561
AP,Guntur,1998-10-01,3.157317073
AP,Guntur,1999-01-01,3.853421053
AP,Guntur,1999-04-01,5.504473684
AP,Guntur,1999-07-01,4.876315789
AP,Guntur,1999-10-01,3.784473684
AP,Guntur,2000-01-01,4.364210526
AP,Guntur,2000-04-01,4.833157895
AP,Guntur,2000-07-01,2.457631579
AP,Guntur,2000-10-01,3.011315789
AP,Guntur,2001-01-01,3.424324324
AP,Guntur,2001-04-01,4.749459459
AP,Guntur,2001-07-01,3.576756757
AP,Guntur,2001-10-01,2.869459459
AP,Guntur,2002-01-01,3.383611111
AP,Guntur,2002-04-01,5.184722222
AP,Guntur,2002-07-01,4.206388889
AP,Guntur,2002-10-01,4.240833333
AP,Guntur,2003-01-01,5.393870968
AP,Guntur,2003-04-01,6.897096774
AP,Guntur,2003-07-01,4.277419355
AP,Guntur,2003-10-01,3.568064516
AP,Guntur,2004-01-01,4.247272727
AP,Guntur,2004-04-01,5.528787879
AP,Guntur,2004-07-01,4.522727273
AP,Guntur,2004-10-01,3.176060606
AP,Guntur,2005-01-01,5.837582418
AP,Guntur,2005-04-01,7.783076923
AP,Guntur,2005-07-01,4.824725275
AP,Guntur,2005-10-01,3.035054945
