STATE,DISTRICT,QUARTER,LEVEL
Andhra Pradesh,Chittoor,01-04-2007,13.12326531
Andhra Pradesh,Chittoor,01-07-2007,10.62173469
Andhra Pradesh,Chittoor,01-10-2007,7.95755102
Andhra Pradesh,Chittoor,01-01-2008,8.499157895
Andhra Pradesh,Chittoor,01-04-2008,10.63252632
Andhra Pradesh,Chittoor,01-07-2008,10.05894737
Andhra Pradesh,Chittoor,01-10-2008,7.566105263
Andhra Pradesh,Chittoor,01-01-2009,8.430531915
Andhra Pradesh,Chittoor,01-04-2009,7.406276596
Andhra Pradesh,Chittoor,01-07-2009,5.655212766
Andhra Pradesh,Chittoor,01-10-2009,5.62712766
Andhra Pradesh,Chittoor,01-01-2010,6.881714286
Andhra Pradesh,Chittoor,01-04-2010,7.867714286
Andhra Pradesh,Chittoor,01-07-2010,5.772
Andhra Pradesh,Chittoor,01-10-2010,4.687428571
Andhra Pradesh,Chittoor,01-01-2011,4.886857143
Andhra Pradesh,Chittoor,01-04-2011,7.451714286
Andhra Pradesh,Chittoor,01-07-2011,6.154
Andhra Pradesh,Chittoor,01-10-2011,5.253142857
Andhra Pradesh,Chittoor,01-01-2012,5.249189189
Andhra Pradesh,Chittoor,01-04-2012,7.624054054
Andhra Pradesh,Chittoor,01-07-2012,3.95
Andhra Pradesh,Chittoor,01-10-2012,5.728108108
Andhra Pradesh,Chittoor,01-01-2013,5.945098039
Andhra Pradesh,Chittoor,01-04-2013,7.710980392
Andhra Pradesh,Chittoor,01-07-2013,3.976078431
Andhra Pradesh,Chittoor,01-10-2013,5.293921569
Andhra Pradesh,Chittoor,01-01-2014,6.842
Andhra Pradesh,Chittoor,01-04-2014,8.967272727
Andhra Pradesh,Chittoor,01-07-2014,8.963090909
Andhra Pradesh,Chittoor,01-10-2014,7.160181818
Andhra Pradesh,Chittoor,01-01-2015,7.734528302
Andhra Pradesh,Chittoor,01-04-2015,9.371132075
Andhra Pradesh,Chittoor,01-07-2015,9.156037736
